#TYPE System.Management.Automation.PSCustomObject
"ColumnName","ColumnType","Class","Schema","LogicalType","ListOfValues","Aliased"
"EventSchemaVersion","string","Mandatory","Authentication","SchemaVersion","",""
"EventSeverity","string","Recommended","Authentication","Enumerated","Informational|Low|Medium|High",""
"EventStartTime","datetime","Mandatory","Authentication","","",""
"EventSubType","string","Optional","Authentication","Enumerated","System|Network|Interactive|RemoteInteractive|Service|RemoteService|Remote|AssumeRole|CachedInteractive|Unlock",""
"EventType","string","Mandatory","Authentication","Enumerated","Logon|Logoff|Elevate",""
"EventUid","string","Recommended","Authentication","","",""
"EventVendor","string","Mandatory","Authentication","Enumerated","Salesforce|AWS|Microsoft|Okta|PostgreSQL|OpenBSD|Linux|Vectra|SentinelOne|Elastic",""
"HttpUserAgent","string","Optional","Authentication","","",""
"IpAddr","string","Alias","Authentication","IP Address","","SrcIpAddr"
"LogonMethod","string","Optional","Authentication","","",""
"LogonProtocol","string","Optional","Authentication","","",""
"LogonTarget","string","Optional","Authentication","","",""
"Rule","string","Optional","Authentication","","",""
"RuleName","string","Optional","Authentication","","",""
"RuleNumber","int","Optional","Authentication","","",""
"Src","string","Recommended","Authentication","","",""
"SrcDescription","string","Optional","Authentication","","",""
"SrcDeviceType","string","Optional","Authentication","Enumerated","Computer|Mobile Device|IOT Device|Other",""
"SrcDomain","string","Optional","Authentication","Domain","",""
"SrcDomainType","string","Conditional","Authentication","Enumerated","Windows|FQDN|ResourceGroup","SrcDomain"
"SrcDvcId","string","Optional","Authentication","","",""
"SrcDvcIdType","string","Conditional","Authentication","Enumerated","AzureResourceId|MDEid|MD4IoTid|VMConnectionId|AwsVpcId|VectraId|ForcepointId|AppGateId|Other","SrcDvcId"
"SrcDvcOs","string","Optional","Authentication","","",""
"SrcDvcScope","string","Optional","Authentication","","",""
"SrcDvcScopeId","string","Optional","Authentication","","",""
"SrcFQDN","string","Optional","Authentication","FQDN","",""
"SrcGeoCity","string","Optional","Authentication","City","",""
"SrcGeoCountry","string","Optional","Authentication","Country","",""
"SrcGeoLatitude","real","Optional","Authentication","","",""
"SrcGeoLongitude","real","Optional","Authentication","","",""
"SrcGeoRegion","string","Optional","Authentication","Region","",""
"SrcHostname","string","Optional","Authentication","Hostname","",""
"SrcIpAddr","string","Recommended","Authentication","IP Address","",""
"SrcIsp","string","Optional","Authentication","","",""
"SrcOriginalRiskLevel","string","Optional","Authentication","","",""
"SrcPortNumber","int","Optional","Authentication","","",""
"SrcRiskLevel","int","Optional","Authentication","","",""
"TargetAppId","string","Optional","Authentication","","",""
"TargetAppName","string","Optional","Authentication","","",""
"TargetAppType","string","Conditional","Authentication","Enumerated","Process|Service|Resource|URL|SaaS application|Other","TargetAppName"
"TargetDescription","string","Optional","Authentication","","",""
"TargetDeviceType","string","Optional","Authentication","Enumerated","Computer|Mobile Device|IOT Device|Other",""
"TargetDomain","string","Recommended","Authentication","","",""
"TargetDomainType","string","Conditional","Authentication","Enumerated","Windows|FQDN|ResourceGroup","TargetDomain"
"TargetDvcId","string","Optional","Authentication","","",""
"TargetDvcIdType","string","Conditional","Authentication","Enumerated","AzureResourceId|MDEid|MD4IoTid|VMConnectionId|AwsVpcId|VectraId|AppGateId|Other","TargetDvcId"
"TargetDvcOs","string","Optional","Authentication","","",""
"TargetDvcScope","string","Optional","Authentication","","",""
"TargetDvcScopeId","string","Optional","Authentication","","",""
"TargetFQDN","string","Optional","Authentication","FQDN","",""
"TargetGeoCity","string","Optional","Authentication","City","",""
"TargetGeoCountry","string","Optional","Authentication","Country","",""
"TargetGeoLatitude","real","Optional","Authentication","","",""
"TargetGeoLongitude","real","Optional","Authentication","","",""
"TargetGeoRegion","string","Optional","Authentication","Region","",""
"TargetHostname","string","Recommended","Authentication","Hostname","",""
"TargetIpAddr","string","Optional","Authentication","IP Address","",""
"TargetOriginalRiskLevel","string","Optional","Authentication","","",""
"TargetOriginalUserType","string","Optional","Authentication","","",""
"TargetPortNumber","int","Optional","Authentication","","",""
"TargetRiskLevel","int","Optional","Authentication","","",""
"TargetSessionId","string","Optional","Authentication","","",""
"TargetUrl","string","Optional","Authentication","","",""
"TargetUserId","string","Optional","Authentication","","",""
"TargetUserIdType","string","Conditional","Authentication","Enumerated","SID|UID|AADID|OktaId|AWSId|PUID|SalesforceId|VectraUserId|MD4IoTid|Other","TargetUserId"
"TargetUsername","string","Optional","Authentication","","",""
"TargetUsernameType","string","Conditional","Authentication","Enumerated","UPN|Windows|DN|Simple","TargetUsername"
"TargetUserScope","string","Optional","Authentication","","",""
"TargetUserScopeId","string","Optional","Authentication","","",""
"TargetUserType","string","Optional","Authentication","","Regular|Guest|Machine|Admin|System|Application|Service|Other",""
"ThreatCategory","string","Optional","Authentication","","",""
"ThreatConfidence","int","Optional","Authentication","ConfidenceLevel","",""
"ThreatField","string","Optional","Authentication","","",""
"ThreatFirstReportedTime","datetime","Optional","Authentication","","",""
"ThreatId","string","Optional","Authentication","","",""
"ThreatIpAddr","string","Optional","Authentication","IP Address","",""
"ThreatIsActive","bool","Optional","Authentication","","",""
"ThreatLastReportedTime","datetime","Optional","Authentication","","",""
"ThreatName","string","Optional","Authentication","","",""
"ThreatOriginalConfidence","string","Optional","Authentication","","",""
"ThreatOriginalRiskLevel","string","Optional","Authentication","","",""
"ThreatRiskLevel","int","Optional","Authentication","RiskLevel","",""
"TimeGenerated","datetime","Mandatory","Authentication","","",""
"Type","string","Mandatory","Authentication","","",""
"User","string","Optional","Authentication","Username","",""
